0,1
<start> Black pre-teen moves to rap song <end>,1962
<start> Several Asian girls take selfies in a lobby area <end>,4647
<start> man touches his nose with a handkerchief in a tv show <end>,430
<start> a man opens a bottle in a room <end>,528
<start> Two male construction workers one busts threw a wall and inside location <end>,4031
<start> a man speaks and sings onstage <end>,1358
<start> an old man is dancing in the background in a room . <end>,786
<start> A soccer player is tying his pal yellow sneakers. <end>,4383
<start> A man is dancing in front of speakers. <end>,2210
<start> Two women in a play are performing on stage. <end>,2350
<start> a man draws a cell phone <end>,526
<start> A cardboard animal head bounces up and down attached to bowl. <end>,4491
<start> a man competing jumping obstacles consistently failed <end>,3401
<start> a blonde Latin woman complaining about being provoked <end>,3399
<start> a playing card changes its appearance <end>,168
<start> Different people in different places throwing pies in peoples faces. <end>,3986
<start> A dog is sleeping in a mound of dog biscuits. <end>,4634
<start> a woman wears tights on her face <end>,1304
<start> 2 men are talking to each other <end>,1900
"<start> Young men walk past the name of a club in Barcelona, Spain. <end>",2767
<start> a group of people is playing a baseball match <end>,1337
<start> a man is running on a street at night <end>,656
"<start> A young woman dressed as Madam Pompadour, is surrounded by young women. <end>",3214
<start> a person is holding a microphone <end>,981
<start> a african man with grey clothes show a rap dance <end>,1574
<start> man is sweating outdoors at daytime <end>,1231
<start> Young person mimes shooting and then knifing self. <end>,4320
<start> in a living room a ibook is shown <end>,1590
<start> 2 men are riding a funfair attraction at a funfair at daytime <end>,74
<start> baseball player catches a ball on a baseball field at daytime <end>,1221
"<start> A baseball player hit third base, loses his helmet. <end>",2969
"<start> Video clips of actors, in scene and with makeup, have close-up cameos. <end>",2669
<start> on a sofa a european man with long hair is sitting <end>,1082
<start> gate keeper holds balls on a soccer field at daytime <end>,1091
<start> Men are doing hand gestures on a basketball court. <end>,2176
"<start> An asian boy, lying on bed, a groaning in pain. <end>",2251
<start> 5 women dance in several locations <end>,1703
<start> People on go carts going down a long hill. <end>,3178
<start> A cat walks and falls over in front of a black cabinet. <end>,2397
<start> a woman talking into a microphone <end>,1643
<start> A women blowing a party favor. <end>,3152
<start> Five photos of computer screens appear on a blackboard.showing the same woman. <end>,4580
<start> a woman is singing in the kitchen <end>,563
<start> In an outdoor playground a dog follows a man bouncing a basketball. <end>,3614
<start> Two women are dancing at a table in a music studio. <end>,2468
<start> 2 persons dance in a stadium at night <end>,1092
<start> a boy dances in front of a mirror <end>,938
<start> a young Asian couple sitting in a cafeteria talking <end>,3482
<start> A person on TV is demonstrating an intensive fan yell. <end>,4638
<start> A woman is outside talking and nodding her head. <end>,2224
<start> Young Asian man says something angrily to the camera <end>,2741
<start> Guy Fiery eats a strand of spaghetti with a white plastic fork <end>,3566
<start> A young red headed guy pushes a guy to the bench. <end>,2766
<start> Two Asian men standing before a microphone and giving a comedic show. <end>,2029
"<start> An Arab announcer, before a responsive audience, is making comments onstage. <end>",3805
<start> a woman wakes up in bed <end>,1130
<start> LeBron James extremely excited and rooting at a basketball game. <end>,3114
<start> white man making music on a stage <end>,835
<start> A video clip of a scan of a world map. <end>,5322
<start> a group of asian man on the red carpet turns around <end>,1533
<start> a woman speaks to the camera on a couch <end>,1668
<start> a group of puppies is running on a terrace <end>,1582
<start> a cat jumps indoors at daytime <end>,1682
<start> Six young Asian men sing rap in front of a cheering audience <end>,3133
<start> robbe shows her tongue in water at daytime <end>,1306
<start> Skateboarder goes down roof of house into swimming pool. <end>,3893
<start> a woman dances at home by moving her ass <end>,1326
"<start> 4 adult males laugh, engage and hug <end>",2325
"<start> A young girl is doing backward somersault, in a gym <end>",2758
<start> Two lines of bikers are moving in the road. <end>,4454
<start> a woman sings and dances on the street at daytime <end>,661
<start> Music video with a flip flop and a high heel. <end>,2144
"<start> A young man is skateboarding on a red, brick pavement. <end>",4460
"<start> On a stage, woman with long hair wearing tights rotates her pelvis <end>",3726
