captions,id
<start> a man sings in a car <end>,1
<start> man shakes his body in a car at daytime <end>,1
"<start> in the daytime, two sportsmen walk in the sports field, while an other man moves on the wheel <end>",2
<start> on a baseball field a person in dark clothes is moving from right to left without walking <end>,2
<start> a basketball player wearing number 30 shirt is scoring a goal on a basketball court against a red wearing team <end>,3
<start> basketball player scoring a three pointer on a basketball field <end>,3
<start> people are going downstairs on a stage <end>,4
<start> several people walking down a staircase on a stage <end>,4
<start> 2 women shake their bottoms <end>,5
<start> two women try to dance in a room. <end>,5
<start> a group of people riding a free fall tower <end>,6
<start> a roller coaster moves upwards at daytime <end>,6
<start> a man is scared by a picture of a boy on a mirror in a bathroom <end>,7
<start> white male taking a selfie in a bathroom mirror <end>,7
<start> 2 men on a stage hug and walk away <end>,8
<start> two young man are standing on a stage embracing each other and one claps the other one's ass. <end>,8
<start> a man speaks into a microphone indoors <end>,10
<start> white man with glasses giving an interview in the interview area <end>,10
<start> a basketball player walks through a group of people <end>,11
<start> a big man in yellow cloths passes by some chairs in a large hall. <end>,11
"<start> in the daytime, a cat walks at home and meows and another cat approaches to it <end>",12
<start> a little cat is following the camera and meows to it <end>,12
<start> 2 men train in a gym <end>,13
<start> 2 men run in a gym <end>,13
<start> 2 women are making saltos in a gym <end>,14
<start> two people doing gymnastic dancing figures in a gymnastics gym <end>,14
<start> a group of people is wearing red suits <end>,15
<start> a man piggybacking another man outdoors <end>,15
<start> two chinese men speaks and laugh at home <end>,16
<start> in a scene of dvd set 1 the right chinese man put his arm around the left chinese man <end>,16
<start> a group of people playing a basketball match in a sports hall <end>,17
<start> a basketball player toddles a ball on a basketball field <end>,17
<start> multiple arabic men wear jellabiya and dance in a queue in a hall <end>,18
<start> in a hall arabic men show a synchronous dance <end>,18
<start> a cat is sleeping indoors <end>,19
<start> cat sleeping on a pole in a room in the evening <end>,19
<start> multiple chinese persons move and smile to take a photo in an indoor place <end>,20
<start> 4 chinese people uniformed make photos <end>,20
<start> two persons with mask dance at home <end>,21
<start> in a living room a african man with black hood is dancing <end>,21
<start> a young man injects fluid in his nose <end>,22
<start> a man splashes an energy drink into his nose indoors <end>,22
"<start> man with glasses speaks at home. then, he carries his mobile and screams <end>",23
<start> in a living room a european man in spider man costume make photos with mobile phone <end>,23
<start> a girl plays with her fingers <end>,24
<start> little girl counting with her fingers on a bed <end>,24
"<start> in the daytime, two men sing in the car and dance outside the car <end>",25
<start> around a black car 2 young man <end>,25
<start> a cat meows at daytime <end>,26
<start> cat lounging around on a blanket at daytime <end>,26
<start> deadpool drinking from a cup <end>,27
<start> persons in costumes dance <end>,27
<start> a man sings to another man on a stage <end>,28
<start> two white boys singing on a stage <end>,28
<start> lights of car turn on <end>,29
<start> in a garage a black car and a person with dent in his pants is shown <end>,29
<start> a soccer player stretching during warm-up <end>,30
<start> a soccer player kicks a ball through the legs of another soccer player on a soccer field <end>,30
<start> boy sings on a chair <end>,32
<start> man sings indoors at daytime <end>,32
<start> a person is sleeping in a bed <end>,33
<start> a man whispers into the camera <end>,33
<start> a man speaks in a car <end>,34
<start> white man talking in a car at daytime <end>,34
<start> a soccer player shoots a ball into a tiny goal on a soccer field at daytime <end>,35
<start> soccer ball rolling into a small goal on a soccer field at daytime <end>,35
<start> a girl is screaming and punching a man in a hallway <end>,36
<start> two girls getting frightened by big man in a school in the evening <end>,36
<start> a basketball player trips over another player and falls down on a basketball court <end>,37
<start> you basketball player falling down in a sports hall <end>,37
<start> 2 men are pinning a floral wreath to a fence at daytime <end>,38
<start> two white man in suits walking with floral wreaths on a street at daytime <end>,38
<start> an old man is shooting hoops on a basketball court <end>,39
<start> man in suit throwing basketball into basket at a sports field <end>,39
<start> soccer players are failing to score a goal on a soccer field at daytime <end>,40
<start> soccer players missing a penalty kick on a soccer field at daytime <end>,40
<start> a basketball player is dancing on a basketball court <end>,41
<start> basketball players dancing in a basketball stadium <end>,41
<start> a black man speaks nodding <end>,42
<start> a black guy is imitating to sing in a room. <end>,42
<start> a dog gets whipped cream into his face indoors <end>,44
"<start> inside a room, the plastic hand from a game is putting cream on a dog's nose. <end>",44
<start> a man doing a slam dunk in sports hall <end>,45
<start> a basketball player scores in a basketball stadium <end>,45
<start> a chinese woman press with her hands on the face of a chinese man in an indoor place. then the both smile <end>,46
<start> a chinese woman squeeze the face of the another chinese person <end>,46
<start> woman dances on a beach at daytime <end>,47
<start> woman phones on a beach at daytime <end>,47
<start> balloons inflame and explode in a room <end>,48
<start> several people celebrating in a room at nighttime <end>,48
<start> multiple chinese persons dance onstage <end>,49
<start> on a podium 5 person perform a dance <end>,49
<start> a women takes a piece of cloth from a man and gives it again to other man in a hall <end>,50
<start> a woman smells clothes outdoors at daytime <end>,50
"<start> at night, football stadium from the sky <end>",52
<start> in a city a aerial photo of a stadium is taken <end>,52
<start> a football player follows the ball in the football stadium. an other football player strikes him on his foot <end>,53
<start> in a football stadium a player foul another <end>,53
<start> a man drags a boy on the floor in a gym <end>,54
<start> little kid getting pulled up and dragged in a karate dojo <end>,54
<start> 8 men move their arms on a stage <end>,55
<start> 8 persons sing on a stage <end>,55
<start> a group of men wearing red hugging each other in a stadium outdoors <end>,56
<start> a group of football player hug each other on a football field at daytime <end>,56
<start> a seal opens its mouth when a hand of a person closes to it in a pool <end>,57
<start> in a aquarium a seal is bare one's teeth if a hand is put on the window <end>,57
<start> an asian man holds 2 fingers beside his face <end>,58
<start> 2 asian boys are sitting at table and make gestures. <end>,58
<start> a football player catches a ball on a football field <end>,59
"<start> at daytime, a man starts running over a football court and catches a ball behind his back. <end>",59
<start> a person takes a cap of another person away <end>,60
<start> a man kicks and boxes another one slightly in front of a picture wall. <end>,60
<start> a woman is holding a blue cup <end>,61
<start> women talk to each other in bedroom <end>,61
"<start> in the daytime, a man speaks while a mosque is exploding <end>",62
<start> a arabic man with white clothes give a comment to the exploding buildings <end>,62
<start> multiple chinese men take a photo with a mobile in an indoor place <end>,63
<start> on a sidewalk 6 chinese men make photos of themselves with a mobile phone on a rod <end>,63
<start> a seashore is being filmed from above <end>,64
<start> water surging against the coast at the beach of an island at daytime <end>,64
<start> a dog in a living room walks across the room <end>,67
<start> a dog enters a room lumbering with small shoes. <end>,67
<start> 2 men are singing <end>,68
<start> two white boys talking to a microphone at a film set <end>,68
<start> an asian man in a clothing store embraces an other person <end>,69
<start> an asian man in cloth shop opens his jacket and embraces a woman. <end>,69
<start> a boy is smashing his head against a water melon in a kitchen <end>,70
<start> a young boy hits a watermelon with his head in kitchen <end>,70
"<start> a man screams, where an other man stays quiet and looks to him in an indoor place <end>",71
<start> in a office a man in green clothes is screaming and jumping <end>,71
"<start> in the daytime, a person pushes the swing which hang up to a tree in the court. an other person in the swing falls o the ground <end>",72
<start> in a park young european kid in red hammock moved up to start seesaw <end>,72
<start> a group of people playing volleyball in a sports hall <end>,73
<start> women play volleyball on a volleyball field <end>,73
<start> 2 men are riding a funfair attraction at a funfair at daytime <end>,74
<start> two black people sitting in a fun fair attraction at a fun fair at daytime <end>,74
"<start> at night, two women walks next to the children <end>",75
<start> a european woman with white and black clothes dance with kids <end>,75
"<start> in the daytime, a child raises its hands. then the people on the other side of the street raise their hands <end>",76
<start> on a sidewalk a kid in red clothes and with cap lift his arms and a crowd of people follow <end>,76
<start> a woman dances and sings onstage <end>,77
<start> a european woman shown in a sequence of singing performances <end>,77
<start> a man on a high building does a salto <end>,78
<start> a young man jumps a salto on wall of a high building under construction and almost tumbles down. <end>,78
<start> 3 women spinning in circles <end>,79
<start> 3 women change their clothes indoors at daytime <end>,79
<start> a group of people playing a soccer match <end>,80
<start> a soccer player is fouled by another player on a soccer field at daytime <end>,80
<start> dogs dance in different locations <end>,83
<start> dogs move their bodies indoors <end>,83
"<start> in the daytime, a chinese man speaks and drinks with the bottle <end>",84
<start> a chinese man talk to the camera and drink out of a bottle <end>,84
<start> a person in a backstage area runs across the area <end>,85
<start> a man runs along a stadium floor and cheers. <end>,85
<start> a black woman punches a black man <end>,86
"<start> after a dialog at the door between two women, one of them runs towards a sitting black man and strokes in his face. <end>",86
<start> man cries in a tv show <end>,87
<start> persons dance in a tv show <end>,87
<start> a woman plays with a hula hoop outside at daytime <end>,88
<start> asian woman hula hoop dancing in the prairie at daytime <end>,88
<start> an asian man speaks <end>,89
<start> an asian blond haired young man in front of blue wall is talking. <end>,89
<start> a girl sings and gesticulates wildly indoors <end>,90
<start> asian girl singing in a music hall <end>,90
<start> 2 women are hugging each other indoors <end>,91
<start> two woman cuddling in a dressing room <end>,91
<start> a woman opens her mouth <end>,92
<start> an in front of a wall sitting person puts the mouth over a bottle. <end>,92
<start> 2 people wearing a black and yellow costumes holding each other <end>,93
<start> 2 persons with horse masks wiggle indoors <end>,93
<start> a boy in a garden falls off a scooter <end>,94
<start> a little boy on a run bike is falling down on a meadow. <end>,94
<start> an old woman looses her teeth <end>,95
