 ids captions
 0 "a woman is at a at daytime "
 1 "a man is through a door and then and it and it is shown "
 2 "a person jumps down down down down down down and then down down but but "
 3 "a woman is dancing on a tv show "
 4 "a man in a room with a man with a red "
 5 "two young men are dancing and a stage "
 6 "a young man with a hair and a black woman with a black and is "
 7 "a white male is eating in a table "
 8 "a man wearing a red shirt is riding a a man with a "
 9 "a man in a white shirt walks through a of a "
 10 "a goat on a ball and a ball "
 11 "a car with a car and a car is shown "
 12 "a small moves a the daytime "
 13 "a young man is dancing in a room "
 14 "one in the beach and the and the the the the the "
 15 "a young woman in a white shirt and a black man on a table "
 16 "a cat in a room "
 17 "a boy in a room with a room with a room "
 18 "a man in a red shirt and white white is standing in a of a "
 19 "a young man is in a of a young asian is talking to the of "
 20 "a boy is holding a toy and on a table "
 21 "a young girl with a red and wearing a pink shirt and the singing in "
 22 "people in a red of a red in a red shirt is running in the "
 23 "two men dance on stage "
 24 "a man is running on a street "
 25 "a young asian woman with a black and is talking to a person "
 26 "a kitten and white and white and white licking a white "
 27 "a man in a kitchen at a kitchen a hand with a hand with a "
 28 "a black man wearing a black and black black and a white man is standing "
 29 "a young girl is a a ball on a tree "
 30 "a black and is dancing on a stage "
 31 "man hits his and in a "
 32 "a woman is holding a "
 33 "a man in a snow of a and is talking "
 34 "a young man in a black man is standing in the of of the day "
 35 "young asian men in a room with a man is dancing in the music "
 36 "a person is walking in a store and a black and falls down "
 37 "outside a man in a black man is running on a street "
 38 "a group of men are standing in a room "
 39 "a person is on a stage "
 40 "a woman in a room "
 41 "a man is by a tree on a street "
 42 "outside on a street during the day during the day during the day "
 43 "a cat with a white and white white white is standing on the of of "
 44 "a young man in a yellow and two are are in a "
 45 "a person is shown at a "
 46 "a man in a subway on a road and falls down down the road and "
 47 "a man in a blue and and blue shirt and the other is holding a "
 48 "group of of people are on a stage and is is singing "
 49 "a black man in a red shirt is is on a "
 50 "in a room a young man with a pink and top and a pink top "
 51 "a man is into a water in a pool and falls into the "
 52 "a person is in a room "
 53 "a child is holding a "
 54 "in a room a group of people are are in a table "
 55 "a young man wearing a red shirt and white red is "
 56 "a young asian man and a table and a table a a table one is "
 57 "man is down at daytime "
 58 "a group of people in a stage "
 59 "a young man is a a a man and a black and the the the "
 60 "a young man is playing a large and is playing a white and is playing "
 61 "a group of people are running on a road "
 62 "in a street at daytime "
 63 "in a baseball field a young man is up a "
 64 "a man is jumping into a ball and a water "
 65 "a woman is to a music in the camera to the music while the other "
 66 "a group of people are on a stage "
 67 "a young man wearing a green shirt and a ball is standing on a field "
 68 "a woman is sitting in a kitchen "
 69 "a man is running on a snow and and on the snow "
 70 "a man in a man is and a man and and a woman is "
 71 "a small in a room is sitting on a room "
 72 "a young man wearing red red shirt and red red are dancing "
 73 "a man is walking on a of "
 74 "a woman in a room a white is singing in a room "
 75 "two men are walking on a street at daytime "
 76 "two men are by a crowd of a young men are talking to a other "
 77 "a group of a group of a group of a men are "
 78 "a man is on a street a man and a man and a man is "
 79 "a crowd of a crowd a young men in a crowd of the "
 80 "a man in a room with a man is his head on a table "
 81 "a young man wearing a red shirt is sitting on a car "
 82 "in a room a young man is a black and is running on a street "
 83 "man in white shirt and on a and falls down on it then falls down "
 84 "a person is in a hand "
 85 "a young man with a white and with a white is dancing on a music "
 86 "a group of people are standing in a crowd of a group of people "
 87 "a man holds a man in a red shirt and a black is is talking "
 88 "a young man is walking in a house a young man is talking to the "
 89 "a man with a man is his phone and his "
 90 "a man is in a street in a house a person is up "
 91 "a young man is walking in a of of two people are "
 92 "a young man is dancing in a room with a young is is talking to "
 93 "a person in a grassy and a white is is running on a road "
 94 "a car is driving a car on a road "
 95 "a man wearing red red and red "
 96 "a man is down and and and one is shown at a "
 97 "a man with a on a "
 98 "two men are talking to a music "
 99 "a group of people in a basketball court at a "
 100 "a group of people are walking on a street at a "
 101 "a man is at a at a man in a man with his head "
 102 "a person is shown and a black and "
 103 "a group of people walking outside on the day during the day day the day "
 104 "a girl in a blue shirt and a young man is standing in front of "
 105 "a young asian woman is walking in a room "
 106 "a man in a snow of a snow and a man in a "
 107 "a woman is walking in a bottle "
 108 "a young asian is sitting on a room with a person and the the of "
 109 "a white is is a a a of a young "
 110 "a black man with a white of a white male with a black "
 111 "a man is jumping on a "
 112 "a young asian girl in a black and is talking and the side of the "
 113 "a man in a room a man in a room "
 114 "a man is on a kitchen a man in a black shirt is standing on "
 115 "a man in a hat and a red is on a road on a road "
 116 "a man in a red and a green a green of a young people are "
 117 "a man is down on a river at daytime "
 118 "a man in a room and a black man is talking to the "
 119 "on a basketball with a black is is on the the "
 120 "a man wearing a gym and is is in a gym "
 121 "a white man with a white shirt with a red shirt and red cap with "
 122 "a young man is standing on a baseball is is standing on the day it "
 123 "a is is by a of a man is by a man "
 124 "a man in a green dancing in a room "
 125 "a man is into a phone and a man is shown "
 126 "a young man is riding a young man is into the street "
